               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.029113,           0.0085053,           0.0012715,             0.53647,             0.87625,             0.58765,             0.42906,            0.027446,           0.0066781,           0.0013377,            0.006931,            0.006931,            0.006931
                  95,            0.027279,           0.0085589,          0.00082608,             0.44234,             0.77159,             0.52002,             0.36863,            0.034031,           0.0076235,            0.002206,            0.006898,            0.006898,            0.006898
                  96,             0.02842,           0.0086394,          0.00080099,              0.4746,             0.77017,             0.52407,              0.3521,            0.036681,           0.0073623,            0.003033,            0.006865,            0.006865,            0.006865
                  97,            0.027694,           0.0082935,          0.00073374,             0.45517,             0.81668,             0.47152,             0.30328,            0.037644,           0.0079014,           0.0027617,            0.006832,            0.006832,            0.006832
                  98,            0.029126,           0.0087694,          0.00085051,             0.51608,             0.91323,             0.57409,             0.42028,            0.027353,           0.0071943,           0.0009585,            0.006799,            0.006799,            0.006799
                  99,            0.028339,           0.0087462,          0.00075086,             0.44037,             0.74976,             0.41724,             0.25737,            0.047422,           0.0083823,           0.0037594,            0.006766,            0.006766,            0.006766
                 100,            0.027387,           0.0082123,           0.0011039,             0.49961,             0.87324,             0.53442,             0.38602,            0.028849,           0.0072435,           0.0016558,            0.006733,            0.006733,            0.006733
                 101,            0.027327,           0.0082411,          0.00077248,             0.47077,             0.75998,             0.48237,             0.31255,            0.034949,           0.0077916,            0.003785,              0.0067,              0.0067,              0.0067
                 102,            0.027891,           0.0086994,          0.00067299,             0.43724,             0.73232,             0.42823,             0.27644,            0.039528,           0.0083915,           0.0050389,            0.006667,            0.006667,            0.006667
                 103,            0.026977,           0.0083526,          0.00073797,             0.48781,             0.75997,             0.47476,             0.27451,            0.043201,           0.0082084,           0.0013111,            0.006634,            0.006634,            0.006634
                 104,             0.02748,           0.0080526,          0.00068635,             0.45482,             0.74395,             0.45834,             0.28683,            0.040457,           0.0087816,           0.0051244,            0.006601,            0.006601,            0.006601
                 105,            0.026545,           0.0083289,          0.00087079,              0.5044,             0.81668,             0.54603,             0.39232,            0.029803,           0.0071252,           0.0017631,            0.006568,            0.006568,            0.006568
                 106,            0.027855,           0.0082247,          0.00072767,             0.45386,             0.65235,             0.39089,             0.23021,            0.043436,           0.0094517,           0.0019975,            0.006535,            0.006535,            0.006535
                 107,            0.026979,           0.0082354,          0.00056221,             0.50374,             0.72613,             0.53208,             0.37427,            0.031754,           0.0082465,           0.0025012,            0.006502,            0.006502,            0.006502
                 108,            0.027806,           0.0083582,          0.00077059,             0.46324,             0.70764,             0.45884,             0.28406,            0.043782,            0.009961,           0.0016026,            0.006469,            0.006469,            0.006469
                 109,            0.026612,           0.0081088,          0.00086099,             0.44042,             0.58538,             0.39461,             0.23441,            0.047936,            0.010089,           0.0019211,            0.006436,            0.006436,            0.006436
                 110,            0.027254,           0.0083224,          0.00072195,             0.46066,             0.55979,             0.36158,             0.23822,            0.061472,           0.0086381,          0.00093292,            0.006403,            0.006403,            0.006403
                 111,            0.026403,           0.0082768,          0.00086497,             0.44721,             0.51993,             0.32722,             0.17866,            0.053487,            0.010618,            0.004235,             0.00637,             0.00637,             0.00637
                 112,            0.026231,           0.0082477,          0.00071212,             0.52692,             0.57665,             0.39592,             0.23318,            0.048068,           0.0099973,           0.0020269,            0.006337,            0.006337,            0.006337
                 113,            0.025715,           0.0079267,          0.00089748,             0.51486,             0.85508,              0.5824,              0.4345,            0.028333,            0.006975,            0.001194,            0.006304,            0.006304,            0.006304
                 114,             0.02712,           0.0084261,          0.00084796,             0.48143,             0.85811,             0.50924,             0.32961,             0.03243,            0.008109,           0.0026247,            0.006271,            0.006271,            0.006271
                 115,            0.026597,           0.0079615,          0.00069594,             0.51695,             0.91024,             0.54173,             0.39724,            0.026288,           0.0066301,          0.00063404,            0.006238,            0.006238,            0.006238
                 116,            0.026123,           0.0081284,           0.0010047,             0.51497,             0.86307,             0.54965,             0.40808,            0.029334,           0.0071057,          0.00090104,            0.006205,            0.006205,            0.006205
                 117,            0.025432,           0.0082172,          0.00060903,             0.45572,             0.62043,             0.37864,             0.21773,            0.049876,           0.0099678,           0.0061738,            0.006172,            0.006172,            0.006172
                 118,            0.027079,           0.0080201,          0.00053083,             0.50612,             0.83082,             0.55999,             0.41876,            0.028429,           0.0079831,           0.0022994,            0.006139,            0.006139,            0.006139
                 119,            0.026407,           0.0081066,          0.00052718,             0.47357,             0.86657,              0.5362,             0.38041,            0.034945,           0.0084863,           0.0028748,            0.006106,            0.006106,            0.006106
                 120,            0.025583,            0.007881,          0.00065894,             0.50661,             0.88279,             0.59266,             0.44749,             0.02693,           0.0077223,           0.0014648,            0.006073,            0.006073,            0.006073
                 121,            0.026835,            0.007947,          0.00071178,             0.43309,             0.74593,             0.45758,             0.31361,            0.037382,           0.0084155,           0.0028584,             0.00604,             0.00604,             0.00604
                 122,             0.02627,           0.0082558,          0.00083069,              0.4509,             0.64215,             0.40904,             0.25715,            0.039005,           0.0095436,           0.0013845,            0.006007,            0.006007,            0.006007
                 123,            0.025603,           0.0080892,          0.00075855,             0.50758,             0.89024,             0.54354,             0.41496,             0.02515,           0.0068628,          0.00095457,            0.005974,            0.005974,            0.005974
                 124,            0.026224,           0.0079416,           0.0010294,             0.50333,             0.92276,             0.57582,             0.44616,             0.02577,           0.0067932,          0.00092132,            0.005941,            0.005941,            0.005941
                 125,            0.026836,           0.0082765,           0.0006917,             0.44763,             0.79235,             0.47122,             0.31291,            0.043239,            0.008558,           0.0007624,            0.005908,            0.005908,            0.005908
                 126,            0.025927,           0.0080728,          0.00076681,             0.40517,             0.64345,             0.42385,             0.21035,            0.053603,           0.0096901,           0.0023447,            0.005875,            0.005875,            0.005875
                 127,            0.024778,           0.0077516,          0.00040163,             0.52006,             0.88645,             0.58579,             0.44804,            0.024912,           0.0064651,           0.0010998,            0.005842,            0.005842,            0.005842
                 128,            0.025251,           0.0083753,          0.00052873,             0.52705,             0.87412,             0.56284,             0.42073,            0.025126,           0.0066614,           0.0010266,            0.005809,            0.005809,            0.005809
                 129,             0.02492,           0.0078405,          0.00048275,             0.50013,             0.72492,             0.51186,             0.35223,            0.035764,           0.0083806,           0.0013485,            0.005776,            0.005776,            0.005776
                 130,            0.024887,           0.0078283,          0.00048212,              0.5034,             0.89808,             0.56746,             0.43639,            0.025607,           0.0071532,           0.0014941,            0.005743,            0.005743,            0.005743
                 131,            0.024422,           0.0076329,           0.0004927,             0.49753,             0.66967,              0.4718,             0.28444,            0.040992,             0.00891,           0.0020199,             0.00571,             0.00571,             0.00571
                 132,            0.025096,           0.0076551,          0.00041462,             0.39539,             0.68878,              0.4213,             0.29005,            0.044679,           0.0087917,           0.0014863,            0.005677,            0.005677,            0.005677
                 133,            0.025251,           0.0080468,          0.00066352,             0.48535,             0.75711,             0.48603,             0.28608,             0.03768,           0.0081353,          0.00091647,            0.005644,            0.005644,            0.005644
                 134,            0.024902,           0.0081256,          0.00055752,             0.48576,             0.68581,               0.439,             0.29287,            0.039312,           0.0086679,           0.0038332,            0.005611,            0.005611,            0.005611
                 135,            0.024837,           0.0076792,          0.00050152,             0.53088,             0.90372,             0.57425,             0.44323,            0.025286,           0.0070424,          0.00093207,            0.005578,            0.005578,            0.005578
                 136,            0.024902,           0.0077365,          0.00063181,             0.25463,             0.23458,             0.16093,            0.071054,            0.074672,            0.013439,           0.0031647,            0.005545,            0.005545,            0.005545
                 137,             0.02464,           0.0075976,          0.00048693,             0.51079,               0.798,              0.5332,             0.35236,            0.033471,           0.0074152,          0.00071256,            0.005512,            0.005512,            0.005512
                 138,            0.023438,           0.0077347,          0.00039595,             0.51944,             0.90623,             0.56808,              0.4426,            0.024517,           0.0067389,          0.00061349,            0.005479,            0.005479,            0.005479
                 139,            0.024595,           0.0078287,          0.00051504,             0.48705,             0.87482,             0.58113,             0.44668,            0.025923,           0.0072056,          0.00075313,            0.005446,            0.005446,            0.005446
                 140,            0.024971,           0.0076828,          0.00047125,             0.53146,             0.89965,             0.57943,             0.44674,            0.024689,            0.006369,          0.00086922,            0.005413,            0.005413,            0.005413
                 141,            0.024729,           0.0078434,          0.00044362,             0.53686,             0.77598,              0.5344,             0.35965,            0.032344,           0.0070814,           0.0015498,             0.00538,             0.00538,             0.00538
                 142,            0.023964,           0.0078016,          0.00050256,             0.47941,             0.70273,              0.4631,             0.26588,            0.039901,           0.0076777,           0.0024278,            0.005347,            0.005347,            0.005347
                 143,            0.023539,           0.0074627,          0.00048504,             0.46989,              0.8486,             0.51623,             0.36043,            0.031103,           0.0078402,           0.0042783,            0.005314,            0.005314,            0.005314
                 144,            0.024132,            0.007583,          0.00064232,             0.49421,             0.86758,             0.53186,             0.38318,            0.028585,           0.0074061,          0.00071554,            0.005281,            0.005281,            0.005281
                 145,             0.02378,            0.007459,          0.00046934,             0.50795,             0.75391,             0.56699,             0.41541,            0.028726,           0.0074158,           0.0019179,            0.005248,            0.005248,            0.005248
                 146,            0.024137,           0.0076691,          0.00052848,             0.51788,             0.83104,             0.56912,             0.43594,            0.027424,           0.0071784,            0.002367,            0.005215,            0.005215,            0.005215
                 147,            0.023788,           0.0074806,          0.00044442,             0.50602,             0.82973,             0.55894,             0.42745,            0.026352,           0.0070103,           0.0017466,            0.005182,            0.005182,            0.005182
                 148,            0.023445,           0.0074892,          0.00051731,              0.4731,             0.77791,              0.4757,             0.30609,            0.038517,           0.0075355,           0.0011958,            0.005149,            0.005149,            0.005149
                 149,            0.023534,           0.0076188,          0.00050429,             0.51717,             0.78606,              0.5597,             0.38143,             0.03055,           0.0070896,           0.0010736,            0.005116,            0.005116,            0.005116
                 150,             0.02372,           0.0075716,          0.00067646,             0.50626,             0.89395,             0.56229,             0.41805,            0.025114,           0.0070622,          0.00071902,            0.005083,            0.005083,            0.005083
                 151,             0.02369,           0.0075528,          0.00076417,             0.46425,             0.71642,             0.43601,             0.23678,            0.050139,           0.0093734,           0.0025759,             0.00505,             0.00505,             0.00505
                 152,            0.023512,           0.0073822,           0.0006947,             0.52799,             0.90828,             0.56711,             0.43147,            0.027106,           0.0068361,           0.0013911,            0.005017,            0.005017,            0.005017
                 153,             0.02365,           0.0078049,          0.00053248,             0.52233,             0.89084,             0.57873,             0.44213,              0.0248,            0.007023,           0.0010543,            0.004984,            0.004984,            0.004984
                 154,            0.024063,           0.0075511,          0.00047779,             0.53348,              0.8918,             0.59512,             0.45435,            0.025428,           0.0069075,          0.00088809,            0.004951,            0.004951,            0.004951
                 155,            0.024022,           0.0075758,          0.00051123,             0.50985,             0.87444,             0.57817,             0.43401,            0.028167,           0.0067386,           0.0014496,            0.004918,            0.004918,            0.004918
                 156,            0.023844,           0.0075679,          0.00045097,             0.44151,             0.73524,              0.5085,             0.35125,            0.033437,           0.0082437,           0.0019264,            0.004885,            0.004885,            0.004885
                 157,            0.022691,           0.0076295,          0.00046788,             0.50185,             0.69735,             0.47818,             0.28481,            0.037735,           0.0083556,           0.0011506,            0.004852,            0.004852,            0.004852
                 158,            0.022879,           0.0074523,          0.00046666,             0.53741,             0.91113,             0.58247,             0.45614,            0.024433,            0.006512,            0.001214,            0.004819,            0.004819,            0.004819
